Unnamed: 0,titulo,links,texto
0,Da pra fazer um programa com o login ..,https://cursos.alura.com.br/forum/topico-da-pra-fazer-um-programa-com-o-login-209677,"<meta charset=""utf-8"">

<input>
<button>login</button><br>
<input>
<button>senha</button>

<script>

    var loginCadastrado = fla ""<br>"";
    var senhaCadastrada = cleo08;

       var loginInformado = document.querySelector(""input"");
       var senhaInformada = document.querySelector(""input"");
       function verifica() {
         if(input.value == loginCadastrado && input.value == senhaCadastrada); {
             alert(""acesso permitido"");
         } 
         (input.value != loginCadastrado && input.value == senhaCadastrada);{
             alert(""acessso negado"");
         }

       }
    var loginInformado = document.querySelector(""button"");
        button.onclick = verifica;
     var senhaInformado = document.querySelector(""button"");
        button.onclick = verifica;



</script>"
1,"Novo na Alura, meio perdido",https://cursos.alura.com.br/forum/topico-novo-na-alura-meio-perdido-209673,"Oi galera, meu nome é Lázaro, tenho 26 anos.
Sou tanto um aluno novo aqui quanto tenho pouco conhecimento na área, o que tenho é algoritmo básico e um pouco de lógica. Esse conhecimento que tenho eu adquiri anos atrás em um curso técnico que nem completei por motivos diversos, o que me deixa até meio cabisbaixo, mas bora seguir, eu voltei e voltei com determinação, agora vai!!
Entrei pelo ONE da Oracle, e meu objetivo é focar no que me chama mais atenção, programação, mas ainda não sei bem em que área vou me especializar. Estou estudando o básico, HTML, CSS e Javascript e mais pra frente pretendo estudar PHP e SQL, isso porque foi as linguagens que já tive contato, mas admito que prefiro quebrar a cabeça com lógica no Javascript que personalizando a aparência no CSS.
Então se alguém tiver uma dica do que estudar, um método para estudar, uma linha de estudo a seguir ou se compensa estudar essas linguagens que citei. Qualquer ajuda é bem vinda já que nem sei por onde começar direito.
Bom, é isso aí, de volta pros estudos."
2,Gpio command not found,https://cursos.alura.com.br/forum/topico-gpio-command-not-found-209611,"Passei por este problema e resolvi realizando a instalação do pacote wiringpi:
$ sudo apt-get update
$ sudo apt-get install wiringpi
$ gpio readall
Espero ter ajudado quem teve o mesmo problema."
3,Erro de sincronia entre app (offline) e site,https://cursos.alura.com.br/forum/topico-erro-de-sincronia-entre-app-offline-e-site-209490,"Eu baixei alguns cursos para assistir offline. Assisti eles e quando eu voltei a ter acesso a internet, pedi para sincronizar. Porém, ao entrar no site, reparei que vários dos vídeos assistidos constam como não vistos.
Logo, gostaria de reportar o erro de sincronia."
4,Evitar que dados duplicados sejam adicionados via Django admin,https://cursos.alura.com.br/forum/topico-evitar-que-dados-duplicados-sejam-adicionados-via-django-admin-209374,"Olá,
Tenho duas tabelas, uma de produtos e outras de valores.
No models da tabela de ""valores"", adicionei os campos: nome da tabela(Charfield), produtos(Foreignkey de produtos), valor(Floatfield).
Cada produto só pode ter um valor e quero bloquear pelo Django admin, a possibilidade de alguém adicionar mais entradas de valores para o mesmo produto.
Alguém já fez este tipo de tratamento, quando a adição de registros é feito pelo Django Admin?
Obrigado."
5,"boa tarde ,não consigo gerar o arquivo.bin do curso java",https://cursos.alura.com.br/forum/topico-boa-tarde-nao-consigo-gerar-o-arquivo-bin-do-curso-java-209329,
6,Consigo baixar cursos Alura no note para,https://cursos.alura.com.br/forum/topico-consigo-baixar-cursos-alura-no-note-para-209283,"Consigo baixar os cursos Alura para assistir onde não possuo internet, sim na faculdade não consigo uma internet boa para assistir os videos, queria assistir no notebook pois tem uma tela maior que no celular."
7,Design Patterns Python,https://cursos.alura.com.br/forum/topico-design-patterns-python-209257,Os cursos de Design Patterns Python sumiram. Estão sendo remodelados ou foram retirados?
8,Posicionamento,https://cursos.alura.com.br/forum/topico-posicionamento-209235,"****Olá time Alura, acabei de terminar o cursos de HTML e CSS e estou botando em prática criando um site do zero. Estou com problema de posicionamento, quero que os textos fiquem no lado da imagem mas elas ficam em baixo dela, já tentei de tudo, uma ajuda agora seria uma boa.
CSS.

.imagem-referencia{
   width: 400px;
    float: left;
    margin: 0 20px 20px 15px;
  }

.texto-principal {
  text-align: left;
    font-size: 2em;
    margin: 0 0 1em;
    clear: left;
}"
9,Como posso começar a minha carreira como Dev?,https://cursos.alura.com.br/forum/topico-como-posso-comecar-a-minha-carreira-como-dev-209149,"Olá, eu queria saber como posso começar minha carreira como Dev, vejo muitas pessoas no Instagram que já são Devs há bastante tempo e muitos deles aconselham começar na área de desenvolvimento como Front-End por ter menos tecnologias e ser menos ""complexo"" digamos assim, porém eu faço faculdade de Análise e Desenvolvimento de Sistemas que é mais voltada para o Back-End e estou nesse impasse, eu queria que um instrutor me desse um help, meio que me guiando e me mostrando um caminho mais claro se for possível. Desde já agradeço."
10,Como setar vários IP usando o UiPath,https://cursos.alura.com.br/forum/topico-como-setar-varios-ip-usando-o-uipath-209102,"Pessoal estou fazendo uma raspagem de dados usando o ""UiPath"", minha duvida é para setar vários IP's  percorrendo 100 paginas por cada IP. Estou com medo de usar um IP só e derrubar o site. Alguém pode me ajudar?"
11,a forma mais rápida que achei. alguma outra sugestão....,https://cursos.alura.com.br/forum/topico-a-forma-mais-rapida-que-achei-alguma-outra-sugestao-209101,"<meta charset=""UTF-8"">
<script>

    var loginCadastrado = ""alura"";
    var senhaCadastrada = ""alura321"";

    var loginInformado = prompt(""Informe seu login"");
    var senhaInformada = prompt(""Informe sua senha"");

    if( loginCadastrado != loginInformado && senhaCadastrada == senhaInformada ) {


          alert(""senha inválido. tente novamente"");
        } 

     var loginInformado = prompt(""Informe seu login"");
    var senhaInformada = prompt(""Informe sua senha"");

     if( loginCadastrado == loginInformado && senhaCadastrada != senhaInformada ){
         alert(""senha inválido. tente novamente"");

     }   
     var loginInformado = prompt(""Informe seu login"");
    var senhaInformada = prompt(""Informe sua senha"");
    if( loginCadastrado == loginInformado && senhaCadastrada == senhaInformada ){
        alert(""acesso permitido"" + loginInformado);
    }




    else {

        alert(""Login inválido. Tente novamente"");
    }
</script>"
12,Alguém conhece algum repositório do GitHub de um sistema de vendas?,https://cursos.alura.com.br/forum/topico-alguem-conhece-algum-repositorio-do-github-de-um-sistema-de-vendas-209098,"Gostaria de um repositório ou algum template de um sistema de vendas para o meu projeto. Estou procurando um em JavaScript, pois só  tenho encontrado em PHP.
desde já agradeço"
13,Duvida,https://cursos.alura.com.br/forum/topico-duvida-209095,Não entendi muito bem essa parte: for( let i = 0; i < imagemCarros.length; i = i + 1)
14,Carros em todas as pistas,https://cursos.alura.com.br/forum/topico-carros-em-todas-as-pistas-209002,"quando eu vou colocar os carros em todas as pistas, os carros da posição quarta, quinta e sexta pista passam mais não retornam a posição Inicial e fiz conforme o vídeo aula.
poderiam me ajudar por favor."
15,Por onde começar - Data Science,https://cursos.alura.com.br/forum/topico-por-onde-comecar-data-science-208946,"Prezados, boa noite.
Sinceramente estou um pouco perdido na plataforma e enquanto eu termino um outro curso introdutório antes de começar este, gostaria de pedir ajuda pra algo bem básico, que é por onde eu começo exatamente.
No caso do meu curso em questão, quando estou no dashboard e clico em Data Science, ele abre uma outra janela onde aparece na parte de cima ""Você quer ver"" e clico em Data Science, ele já vai direto pra uma, até onde entendi, primeira aula que é ""SAS parte 1"", que pelo pouco que vi pra não ficar perdido, já é uma aula direto ao ponto, sem introduzir nada sobre o que é a ciência de dados em si.
Notei que há módulos de introdução como o ""Primeiros Passos"" mas ele tem um ""pré-requisito"" ao lado e assim por diante.
Enfim, gostaria de um auxílio quanto a onde começar de fato pois estou bem perdido na plataforma.
Obrigado."
16,Ser ágil,https://cursos.alura.com.br/forum/topico-ser-agil-208914,Ser ágil é entregar valor ao cliente mais rápido e consequentemente ter o feedback mais rápido para que o produto/serviço se adeque a necessidade e/ou desejo do cliente.
17,Dúvida,https://cursos.alura.com.br/forum/topico-duvida-208910,Qual a diferença entra curso e formação aqui na alura?
18,erro na imagem do portal de noticias - ImageInspectError,https://cursos.alura.com.br/forum/topico-erro-na-imagem-do-portal-de-noticias-imageinspecterror-208825,"ola pessoal, 
ao criar o pod do portal de noticias, ocorre um erro ao subir o pod:
Name:         portal-noticias
Namespace:    default
Priority:     0
Start Time:   Tue, 22 Mar 2022 15:45:25 -0300
Labels:       <none>
Annotations:  <none>
Status:       Pending
IP:           10.1.0.30
IPs:
  IP:  10.1.0.30
Containers:
  portal-noticias-container:
    Container ID:
    Image:          aluracursos/portal-noticias:1
    Image ID:
    Port:           <none>
    Host Port:      <none>
    State:          Waiting
      Reason:       ImageInspectError
    Ready:          False
    Restart Count:  0
    Environment:    <none>
    Mounts:
      /var/run/secrets/kubernetes.io/serviceaccount from kube-api-access-zhz2m (ro)
Conditions:
  Type              Status
  Initialized       True
  Ready             False
  ContainersReady   False
  PodScheduled      True
Volumes:
  kube-api-access-zhz2m:
    Type:                    Projected (a volume that contains injected data from multiple sources)
    TokenExpirationSeconds:  3607
    ConfigMapName:           kube-root-ca.crt
    ConfigMapOptional:       <nil>
    DownwardAPI:             true
QoS Class:                   BestEffort
Node-Selectors:              <none>
Tolerations:                 node.kubernetes.io/not-ready:NoExecute op=Exists for 300s
                             node.kubernetes.io/unreachable:NoExecute op=Exists for 300s
Events:
  Type     Reason         Age               From               Message
  ----     ------         ----              ----               -------
  Normal   Scheduled      35s               default-scheduler  Successfully assigned default/portal-noticias to docker-desktop
  Warning  InspectFailed  6s (x5 over 33s)  kubelet            Failed to inspect image ""aluracursos/portal-noticias:1"": rpc error: code = Unknown desc = Error response from daemon: readlink /var/lib/docker/overlay2: invalid argument
  Warning  Failed         6s (x5 over 33s)  kubelet            Error: ImageInspectErrorversao do kubernetes:
1.22.5
arquivo yaml:
apiVersion: v1
kind: Pod
metadata: 
  name: portal-noticias
spec:
  containers:
    - name: portal-noticias-container
      image: aluracursos/portal-noticias:1OBS: reparei que no describe nao tem o Image ID, enquanto que no video tem"
19,Situação bem subjetiva na minha opinião,https://cursos.alura.com.br/forum/topico-situacao-bem-subjetiva-na-minha-opiniao-208796,"Acredito que é o tipo de situação que varia muito do ambiente, por exemplo, o melhor angulo do ambiente seria favoravel o uso do sol, ou o sol iria acabar atrapalhando, eu particulamente evitaria usar uma forte luz solar, apostaria em uma luz mais suave e usaria outras fontes de luz para pode ter melhor controle tanto na filmagem quanto nas edições."
20,não executa criação do arquivo .bin,https://cursos.alura.com.br/forum/topico-nao-executa-criacao-do-arquivo-bin-208622,"não consigo cri 
não consigo criar o arquivo objeto.bin da erro e do cliente."
21,Video trava muito,https://cursos.alura.com.br/forum/topico-video-trava-muito-208697,"Os vídeos travam muito! 
Sei que minha net é boa, já tentei em outras maquinas e conexões, o erro é o mesmo, tem que dar o refresh na página para poder ver o vídeo quando trava."
22,lenght não funciona,https://cursos.alura.com.br/forum/topico-lenght-nao-funciona-208657,"Estou tentando validar um campo de email com js, mas quando uso a função lenght para saber o tamanho da string ela não funciona
var inputEmail = document.querySelector(""#inputEmail"");
    var valorInputEmail = inputEmail.value; nessa parte pego o input Email no html e o valor dele.
var usuario = valorInputEmail.substring(0, valorInputEmail.indexOf(""@""));
    var dominio = valorInputEmail.substring(valorInputEmail.indexOf(""@"")+1, valorInputEmail.lenght);depois divido em duas strings, uma com a parte antes do @ e outra depois do @. 
Quando vou validar o tamanho da string ""usuario"" e ""dominio"" com o .lenght, no console.log aparece undefined. Por exemplo:
console.log(usuario.lenght);aí no console sai undefined. Alguém sabe o porque?"
23,problema para logar,https://cursos.alura.com.br/forum/topico-problema-para-logar-208639,eu acabei me mudando pra SP gostaria de saber se posso fazer o curso daqui ou pelo menos emprimir os certificado pois quando loguei so apareceu que tinha completado apenas 1 trilha sendo que eu completei o curso acabei descobrindo outro jeito pra fazer o curso da alura sem no PR https://www.educamaisbrasil.com.br/educacao/noticias/plataforma-abre-inscricoes-para-cursos-gratuitos-de-programacao se nao der pra continuar com o eduthch gostaria de pelo menos continuar de onde parei
24,Raquete do oponente não toca na borda superior da tela,https://cursos.alura.com.br/forum/topico-raquete-do-oponente-nao-toca-na-borda-superior-da-tela-208638,"A raquete do oponente não está tocando na borda superior da tela. Ela muda de direção antes de tocar na borda.
Não usei o metodo que o professor ensinou, usando um código já existente no github. Eu usei a formula de movimento já existe no projeto, remoldando ela para a raquete do oponente. E percebi que no scratch do meu projeto, está com o mesmo bug. Já alterei os operadores (posição y - 30) no java tbm, alterei o y da bolinha, o y da raquete, a raquete sofre uma alteração para mais, mas nunca toca na borda superior da tela."
25,Curso de inglês,https://cursos.alura.com.br/forum/topico-curso-de-ingles-208600,Onde encontro na plataforma a função de acesso ao curso de inglês?
26,Erro ao criar Tabela pelo Assistente no SLQ Server,https://cursos.alura.com.br/forum/topico-erro-ao-criar-tabela-pelo-assistente-no-slq-server-208581,"Olá boa tarde, tudo bem?
Estou tentando criar uma tabela pelo assistente no SQL no V17.9.1. Porém, aparece a mensagem de erro abaixo:
This backend version is not supported to design database diagrams or tables. (MS Visual Database Tools)
Vocês podem me ajudar a entender o que houve, por favor? :/
Grata
ErroSQL"
27,Erro no contato da bolinha com a raquete,https://cursos.alura.com.br/forum/topico-erro-no-contato-da-bolinha-com-a-raquete-208577,"Tanto no projeto do scratch, como no java, a bolinha ""algumas vezes"" ela quica varias vezes na raquete antes de mudar de direção.
Como conserto isso?"
28,Discord inacessivel,https://cursos.alura.com.br/forum/topico-discord-inacessivel-208541,Gostaria de saber o motivo da inacessibilidade do canal no discord
29,Cadê os exercícios?,https://cursos.alura.com.br/forum/topico-cade-os-exercicios-208529,"Onde ficam os exercícios pra fixar o aprendizado?
Eu tenho ido de curso em curso e não acho material para exercitar o conteúdo aprendido. Sinto que meu aprendizado está sendo muito lento e a experiência com os cursos mal aproveitada, cada vez mais percebo que entendo menos do que os professores falam."
30,Muito boa as aulas! Feliz com o que estou aprendendo.,https://cursos.alura.com.br/forum/topico-muito-boa-as-aulas-feliz-com-o-que-estou-aprendendo-208499,"namespace Conversor
{
    internal class Program
    {
        static void Main(string[] args)
        {
            Console.Write(""Divisor"");
        for (int valor = 0; valor <= 100; valor++)
        {
            if (valor % 3 == 0)
            {
                Console.WriteLine(valor);

            }



        }
        Console.WriteLine(""No final da execução digitar ENTER"");

        Console.ReadLine();
    }
}}"
